timestamp,measured_x,measured_y,measured_z,reference_x,reference_y,reference_z,traps_x,traps_y,traps_z,theta
31.733398,1.64,40.396,120.482,0,42.4571414,120.627836,0,40.755792,120.6131555,0.0289064
31.93335,1.701,40.456,120.486,0,42.4571414,120.627836,0,40.755792,120.6131555,0.0289064
31.633301,1.547,40.467,120.481,0,42.4571414,120.627836,0,40.755792,120.6131555,0.0289064
9.429199,1.545,40.18,120.491,0,42.4554442,120.6518883,0,40.7540793,120.6369193,0.0294733
31.833374,1.652,40.502,120.517,0,42.4554442,120.6518883,0,40.7540793,120.6369193,0.0294733
9.329224,1.53,40.248,120.514,0,42.453714,120.6759393,0,40.7523333,120.6606818,0.0300402
31.533325,1.554,40.292,120.514,0,42.453714,120.6759393,0,40.7523333,120.6606818,0.0300402
31.43335,1.335,40.24,120.553,0,42.4501548,120.7240372,0,40.7487417,120.7082026,0.031174
9.229248,1.261,40.326,120.58,0,42.4483258,120.748084,0,40.746896,120.7319608,0.0317409
31.333374,1.25,40.321,120.61,0,42.4464638,120.7721294,0,40.745017,120.7557176,0.0323079
9.12915,1.307,40.178,120.613,0,42.4445689,120.7961733,0,40.7431048,120.779473,0.0328748
31.233398,1.232,40.232,120.634,0,42.442641,120.8202158,0,40.7411593,120.8032268,0.0334418
9.029175,1.18,40.302,120.642,0,42.442641,120.8202158,0,40.7411593,120.8032268,0.0334418
31.133301,1.5,40.134,120.671,0,42.4386864,120.8682961,0,40.7371685,120.8507299,0.0345757
8.929199,1.53,40.358,120.712,0,42.4366596,120.892334,0,40.7351232,120.874479,0.0351427
31.033325,1.291,40.213,120.745,0,42.4325072,120.9404049,0,40.7309329,120.9219725,0.0362766
8.829224,1.36,40.288,120.79,0,42.428223,120.9884692,0,40.7266096,120.9694594,0.0374106
30.833374,1.422,40.683,120.852,0,42.4260315,121.0124988,0,40.724398,120.9932002,0.0379777
30.93335,1.501,40.286,120.841,0,42.423807,121.0365267,0,40.7221532,121.0169394,0.0385447
8.62915,1.359,40.036,120.838,0,42.4215495,121.0605529,0,40.7198752,121.0406767,0.0391117
30.733398,1.503,40.339,120.875,0,42.4192591,121.0845773,0,40.7175638,121.0644123,0.0396787
30.633301,1.758,40.49,120.891,0,42.4192591,121.0845773,0,40.7175638,121.0644123,0.0396787
8.529175,1.375,39.969,120.872,0,42.4169358,121.1085999,0,40.7152192,121.0881461,0.0402458
8.429199,1.423,40.083,120.889,0,42.4169358,121.1085999,0,40.7152192,121.0881461,0.0402458
30.43335,1.49,40.295,120.921,0,42.4145795,121.1326207,0,40.7128414,121.111878,0.0408129
30.533325,1.551,40.401,120.924,0,42.4145795,121.1326207,0,40.7128414,121.111878,0.0408129
30.333374,1.334,40.649,120.967,0,42.4145795,121.1326207,0,40.7128414,121.111878,0.0408129
8.329224,1.413,39.862,120.902,0,42.4121902,121.1566397,0,40.7104303,121.135608,0.0413799
7.529175,1.414,40.773,121.022,0,42.409768,121.1806567,0,40.7079859,121.1593362,0.041947
7.829224,1.291,39.774,120.968,0,42.4023036,121.2526964,0,40.7004532,121.2305091,0.0436483
7.62915,1.339,40.369,121.036,0,42.4023036,121.2526964,0,40.7004532,121.2305091,0.0436483
7.929199,1.167,39.754,121.002,0,42.3997495,121.2767058,0,40.6978758,121.2542294,0.0442154
30.233398,1.198,40.354,121.047,0,42.3997495,121.2767058,0,40.6978758,121.2542294,0.0442154
7.429199,1.437,40.529,121.096,0,42.3971625,121.3007131,0,40.6952651,121.2779477,0.0447825
8.029175,1.209,39.521,121.002,0,42.3945426,121.3247184,0,40.6926212,121.3016639,0.0453496
30.133301,1.306,40.282,121.103,0,42.3945426,121.3247184,0,40.6926212,121.3016639,0.0453496
30.033325,1.293,40.228,121.102,0,42.3918897,121.3487216,0,40.689944,121.3253781,0.0459168
29.533325,1.021,40.451,121.141,0,42.3918897,121.3487216,0,40.689944,121.3253781,0.0459168
7.729248,1.368,39.99,121.106,0,42.3892038,121.3727228,0,40.6872335,121.3490902,0.0464839
29.93335,1.273,40.239,121.158,0,42.386485,121.3967219,0,40.6844898,121.3728001,0.0470511
29.733398,1.06,40.247,121.153,0,42.386485,121.3967219,0,40.6844898,121.3728001,0.0470511
29.633301,0.979,40.318,121.192,0,42.3837332,121.4207188,0,40.6817128,121.3965079,0.0476183
7.329224,1.516,40.178,121.184,0,42.3809485,121.4447136,0,40.6789026,121.4202136,0.0481855
29.43335,1.217,40.197,121.187,0,42.3809485,121.4447136,0,40.6789026,121.4202136,0.0481855
29.833374,1.159,40.224,121.186,0,42.3809485,121.4447136,0,40.6789026,121.4202136,0.0481855
29.333374,1.235,40.012,121.266,0,42.3665305,121.5646543,0,40.6643525,121.5387081,0.0510215
29.133301,1.154,40.066,121.285,0,42.3665305,121.5646543,0,40.6643525,121.5387081,0.0510215
29.033325,1.041,40.23,121.298,0,42.3665305,121.5646543,0,40.6643525,121.5387081,0.0510215
29.233398,1.06,39.945,121.283,0,42.363548,121.5886357,0,40.6613427,121.5624001,0.0515888
7.229248,1.487,39.938,121.313,0,42.3605326,121.6126146,0,40.6582996,121.5860897,0.0521561
28.93335,0.928,40.36,121.361,0,42.3605326,121.6126146,0,40.6582996,121.5860897,0.0521561
7.029175,1.489,39.903,121.363,0,42.3512886,121.6845373,0,40.6489708,121.6571442,0.0538579
7.12915,1.505,39.795,121.383,0,42.3449612,121.7324737,0,40.6425853,121.7045016,0.0549925
28.833374,1.017,40.068,121.502,0,42.3352229,121.8043594,0,40.6327576,121.7755187,0.0566946
6.929199,1.393,39.311,121.403,0,42.3319109,121.8283163,0,40.6294151,121.7991859,0.0572619
28.733398,1.154,40.152,121.527,0,42.3319109,121.8283163,0,40.6294151,121.7991859,0.0572619
28.633301,1.232,40.024,121.539,0,42.3285659,121.8522705,0,40.6260394,121.8228505,0.0578293
28.43335,1.243,39.786,121.589,0,42.3148565,121.948061,0,40.612204,121.9174822,0.060099
28.533325,1.178,39.931,121.608,0,42.3148565,121.948061,0,40.612204,121.9174822,0.060099
28.333374,1.337,39.745,121.645,0,42.3042284,122.0198754,0,40.6014782,121.9884271,0.0618014
28.233398,1.414,39.79,121.705,0,42.2933037,122.0916647,0,40.5904529,122.0593466,0.0635039
28.133301,1.348,39.79,121.75,0,42.2858558,122.1395098,0,40.5829365,122.1066118,0.064639
6.029175,1.637,39.804,121.787,0,42.2782761,122.1873433,0,40.5752869,122.1538651,0.0657741
28.033325,1.266,39.833,121.796,0,42.2782761,122.1873433,0,40.5752869,122.1538651,0.0657741
5.62915,1.47,40.13,121.84,0,42.2782761,122.1873433,0,40.5752869,122.1538651,0.0657741
6.12915,1.664,39.699,121.8,0,42.2744368,122.2112556,0,40.5714122,122.1774873,0.0663417
5.829224,1.547,39.884,121.821,0,42.2744368,122.2112556,0,40.5714122,122.1774873,0.0663417
27.733398,1.272,39.816,121.831,0,42.2705645,122.2351649,0,40.5675043,122.2011064,0.0669093
5.529175,1.378,39.888,121.858,0,42.2705645,122.2351649,0,40.5675043,122.2011064,0.0669093
27.43335,1.287,39.977,121.856,0,42.2705645,122.2351649,0,40.5675043,122.2011064,0.0669093
27.533325,1.38,39.727,121.841,0,42.2666593,122.2590711,0,40.5635631,122.2247224,0.0674769
5.929199,1.53,39.78,121.841,0,42.2666593,122.2590711,0,40.5635631,122.2247224,0.0674769
27.633301,1.275,39.713,121.866,0,42.2627212,122.2829743,0,40.5595886,122.2483354,0.0680445
5.729248,1.373,39.936,121.898,0,42.2627212,122.2829743,0,40.5595886,122.2483354,0.0680445
8.729248,1.272,39.873,121.906,0,42.25875,122.3068745,0,40.5555809,122.2719453,0.0686122
27.333374,1.386,40.03,121.964,0,42.254746,122.3307715,0,40.5515399,122.295552,0.0691798
27.233398,1.437,40.114,121.991,0,42.2507089,122.3546653,0,40.5474656,122.3191555,0.0697475
5.429199,1.366,39.656,121.926,0,42.246639,122.3785561,0,40.5433581,122.3427559,0.0703152
5.329224,1.255,39.64,121.949,0,42.242536,122.4024436,0,40.5392173,122.366353,0.0708829
5.12915,1.241,39.679,121.954,0,42.242536,122.4024436,0,40.5392173,122.366353,0.0708829
5.229248,1.207,39.56,122.004,0,42.2300295,122.4740869,0,40.5265953,122.4371248,0.0725861
27.133301,1.369,39.981,122.108,0,42.2257947,122.4979614,0,40.5223214,122.4607088,0.0731539
